pCO2	Water temp [°C]	LF 20°C [µS/cm]	P ges Ganimede [mg/l]	Sauerstoff gel. O2 [mg/l]	TOC [mg/l]	Summe Kationen [mval/l]	Summe Anionen [mval/l]	pHWert	Date	mWert (alkalinity) [mmol/l]	Na fil [mg/l]	K fil [mg/l]	Ca fil [mg/l]	Mg fil [mg/l]	Nitrat NO3 [mg/l]	Chlorid Cl [mg/l]	Sulfat SO4 [mg/l] 
1.41E+03	3.5	1742	0.28	12.9	4	20.19	19.12	8.3	1.24	6	191	13	133	59	31.9	338	148
1.96E+03	3.7	1333	0.21	12.5	4.4	14.91	15.32	8.2	2.14	6.6	63	11	127	66	35.3	162	172
2.11E+03	9.5	1301	0.15	10.8	3.7	15.74	15.44	8.2	3.7	6.7	64	12	138	69	38.3	159	175
1.73E+03	13.5	1264	0.19	11.6	4.4	15.33	15.31	8.3	4.19	6.6	65.72	12.3	133.96	66.19	34.2	163	171
3.37E+03	11.1	1219	0.19	10.1	5.2	14.39	14.39	8	5.23	6.6	53	10	126	67	33.4	133	168
3.27E+03	21.4	1330	0.23	7.4	4.1	14.37	15.17	8.1	6.2	7.1	52.05	11.17	136.48	60.52	35.3	151	156
2.14E+03	19.4	1138	0.28	9	4.1	12.68	13.51	8.2	7.16	6	48	11	123	50.43	40	146	132
2.37E+03	17	1079	0.35	9.7	5	13.31	12.6	8.1	8.2	5.4	53.05	13.51	125	53.39	44.6	140	122
2.47E+03	13.4	1136	0.31	9	4.6	12.67	13.58	8.1	9.25	5.9	60	16	117	46	40	150	135
3.49E+03	15.8	724	0.56	7.4	7.4	8.38	8.58	7.8	10.23	4	43.19	10.69	73.48	30.06	17.6	93	80.6
2.61E+03	6.3	1273	0.23	11.4	3.2	15.2	15.24	8.1	11.28	6.8	61	14	137	64	35.3	158	164
1.95E+03	6.1	1258	0.22	11.9	3.2	15.36	14.84	8.2	12.18	6.4	62	12	138	66	42.1	161	155
